date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
2021-10-03,2021,0,,ATL,NYM,1522.34830301287,1513.26107312772,0.5474729232524204,0.45252707674757964,,,1524.31540285934,1534.82970129098,,,,,,,0.5191398748759449,0.48086012512405507,,,,
2021-10-03,2021,0,,STL,CHC,1491.70983818568,1496.08779850449,0.528208400004309,0.471791599995691,,,1491.55684381197,1495.77214867896,,,,,,,0.517333639417592,0.48266636058240797,,,,
2021-10-03,2021,0,,SEA,ANA,1489.9193774632,1496.38308073174,0.525215350610644,0.47478464938935605,,,1480.09436360549,1503.2678012195,,,,,,,0.5089619001471076,0.4910380998528924,,,,
2021-10-03,2021,0,,LAD,MIL,1585.62456214104,1525.02945746284,0.6193920447407482,0.38060795525925184,,,1596.78743851715,1527.81744695961,,,,,,,0.6287737898026468,0.37122621019735325,,,,
2021-10-03,2021,0,,KCR,MIN,1443.48460233129,1486.04417211264,0.47331600869717694,0.5266839913028231,,,1448.19409228066,1499.78453708918,,,,,,,0.46188271825798044,0.5381172817420196,,,,
2021-10-03,2021,0,,HOU,OAK,1564.46189447088,1532.10938380984,0.5803940292235379,0.4196059707764621,,,1567.30528068652,1520.68900040822,,,,,,,0.5988608773212216,0.4011391226787784,,,,
2021-10-03,2021,0,,CHW,DET,1540.80708094343,1458.67422545276,0.6481574400762357,0.35184255992376434,,,1542.2064297773,1455.42371268369,,,,,,,0.6561156655057777,0.3438843344942223,,,,
2021-10-03,2021,0,,ARI,COL,1437.79332439584,1472.47846883364,0.48462768727918837,0.5153723127208116,,,1443.00820321297,1452.86417950597,,,,,,,0.5348038663235244,0.4651961336764756,,,,
2021-10-03,2021,0,,TOR,BAL,1527.16862769677,1439.63595993655,0.6552130241422097,0.3447869758577903,,,1529.90954609298,1425.45959924027,,,,,,,0.6784110112372879,0.32158898876271214,,,,
2021-10-03,2021,0,,TEX,CLE,1463.35528624985,1495.73673591496,0.48794046361957627,0.5120595363804237,,,1456.96335858938,1501.97180404121,,,,,,,0.47833839210004425,0.5216616078999557,,,,
